"n","p1","p2","r","zero_benchmark","nb_discoveries","nb_real_discoveries","distance_tot","distance_U","distance_V","sinTheta_tot","sinTheta_U","sinTheta_V","prediction_tot","prediction_U","prediction_V","TPR","TNR","FPR","FNR","noise","method","prop_missing","overlapping_amount","n.1","r_pca","exp"
100,50,50,2,2,100,59,2.43715563354482,1.62038448687794,1.73182869418296,3.00823732100697,3.23206311101144,3.90408967911811,1.66922908203299,248.836377055703,262.580709915836,0.305084745762712,0.707317073170732,0.694915254237288,0.4,1,"Alt-0.1",0.05,0,100,0,1
100,50,50,2,2,100,6,2.79930294546512,1.94029595043494,2.0025018914518,3.38802686557859,3.4615415477197,3.64656089002477,1.94770041363211,349.717851491414,337.612429729455,0.333333333333333,0.702127659574468,0.666666666666667,0.933333333333333,1,"Alt-0.5",0.05,0,100,0,1
100,50,50,2,2,100,100,3.25392872494025,2.20870973982881,2.21405563889146,7.78667197314909,5.022155006266,6.12975622925646,4.08436808979428,465.036533052081,489.865501128958,0.3,0,0.7,0,1,"CCA-mean",0.05,0,100,0,1
100,50,50,2,2,100,100,3.21339772495,2.19465696291746,2.2138991585864,7.88856699746248,5.21261398867346,5.97838333381417,4.0686654871297,471.275143568747,484.120247464737,0.3,0,0.7,0,1,"CCA-median",0.05,0,100,0,1
100,50,50,2,2,100,100,2.50185527691958,1.79917360746752,1.69300464350276,10.0607533809296,6.87171596835729,4.93031568294562,2.85528523171654,253.215077079472,310.580921595567,0.3,0,0.7,0,1,"RRR",0.1,0,100,0,1
100,50,50,2,2,100,100,2.81517818926481,2.11451272403716,1.82210985161623,8.91084781696624,6.64406235224733,4.66887387398333,3.14382665850549,393.305817781637,338.974098124252,0.3,0,0.7,0,1,"Alt-1e-04",0.1,0,100,0,1
100,50,50,2,2,100,100,2.75025458612511,2.06407617279056,1.78507353904605,8.53138873912951,6.38738435885491,4.56302234136618,3.03169583132185,377.839012500439,324.860188977112,0.3,0,0.7,0,1,"Alt-5e-04",0.1,0,100,0,1
100,50,50,2,2,100,99,2.65722068440316,1.99144171077364,1.73150069311812,8.09807904016275,6.06347727097098,4.44085459431937,2.88549196282449,356.123992947399,305.630249016381,0.303030303030303,1,0.696969696969697,0,1,"Alt-0.001",0.1,0,100,0,1
100,50,50,2,2,100,92,2.11353377615306,1.56244797778216,1.41561235644675,4.51090901125016,4.17453608517736,3.61856405102929,1.7765936253025,223.348721766192,227.644131847224,0.304347826086957,0.75,0.695652173913043,0.0666666666666667,1,"Alt-0.005",0.1,0,100,0,1
100,50,50,2,2,100,91,1.92716246226671,1.44939989053868,1.26752529956049,3.56789739287589,3.64948119816904,3.03860763112323,1.77934314599415,196.268338750561,171.640147167428,0.318681318681319,0.888888888888889,0.681318681318681,0.0333333333333333,1,"Alt-0.01",0.1,0,100,0,1
100,50,50,2,2,100,66,1.5556582113631,1.14661501688958,1.05124341442467,2.39687040898877,2.87330941919555,2.4419719021923,1.10017955466609,120.789943432755,104.112858319125,0.409090909090909,0.911764705882353,0.590909090909091,0.1,1,"Alt-0.05",0.1,0,100,0,1
100,50,50,2,2,100,54,1.4787265875421,1.07329413050959,1.01715744767911,2.05097933168826,2.34746234969603,2.26266175826052,0.983365751780861,108.192213395052,94.2820162697955,0.462962962962963,0.891304347826087,0.537037037037037,0.166666666666667,1,"Alt-0.1",0.1,0,100,0,1
100,50,50,2,2,100,8,1.70517971938187,1.17520943664609,1.23127362670682,2.06229728630017,2.43926766858422,2.53592983369415,0.898611742495908,132.698348245865,156.710249065177,1,0.760869565217391,0,0.733333333333333,1,"Alt-0.5",0.1,0,100,0,1
